아이디,총 단어의 수,매칭된 단어,카테고리 분류 결과,카테고리 최종 결과
mejiwoo103,1266,"['깨끗', '슬림티', '숙소', '셔링', '팔레트', '클렌징', '데님', '복도', '침대', '블라우스', '업뎃', '하트', '뿌듯', '대망', '난리', '업데이트', '카메라', '화이팅', '내일', '마미', '상세', '원피스', '어깨', '전신', '블라디', '자켓', '건성', '설정', '일부러', '취소', '자동', '코디', '언제', '낭낭', '익선동', '슬랙스', '침실', '팬츠', '완벽', '베이직', '언팔', '이드', '동영상', '침구', '가디건', '세미', '의류', '티셔츠', '셔츠', '정신', '슬슬', '클로즈업', '슬리브', '호스트', '쓰시', '주얼', '월요일']","[('패션', 17), ('뷰티', 12), ('육아', 10), ('헬스', 9), ('인테리어', 5), ('여행', 4)]",패션
mrs_macarons,10252,"['하라', '공률', '스톡', '섬유', '설탕', '조개', '볶음', '만끽', '자동', '주걱', '몇장', '슬라이딩', '여기저기', '주머니', '마르', '영양소', '무럭무럭', '토마토', '다짐', '변형', '동영상', '토요일', '대파', '최선', '귀신', '흰자', '찰떡', '넣기', '하이라이트', '거부', '설키', '리치', '용법', '베이킹파우더', '랜선', '따라서', '브로', '내일', '사발', '다크', '사선', '초고추장', '파르마', '언제', '파채', '미나리', '마르살라', '짬뽕', '비빔면', '공부', '샛별', '고소', '우러나온', '정성껏', '파기', '세로', '뿌잉', '래미', '월요일', '계란말이', '소세지', '오이', '카메라', '데리', '세도', '원님', '베이비', '분기', '어른', '쫀쫀하', '조심', '핸드', '지단', '코다리', '아들', '학교', '목살', '갈비탕', '강요', '원형', '정신', '책임', '눈빛', '캡숑', '스팅', '쫀쫀', '고기', '땅콩', '하트', '떡갈비', '유목민', '가요', '방치', '텃밭', '윤기', '돼지고기', '번의', '설정', '방학', '조미료', '겨자', '크런치', '양념', '위아래', '미국', '크래커', '장아찌', '떡볶이', '긍정', '소독', '달라', '이드', '주기도', '과학', '전면', '잘못', '베트남', '친정', '불고기', '산소']","[('육아', 32), ('푸드', 28), ('헬스', 20), ('뷰티', 19), ('인테리어', 9), ('여행', 7), ('펫', 4), ('패션', 1)]",푸드 육아
zzangjeolmi,613,"['침대', '하트', '전체샷', '가요', '상세', '매트리스', '설정', '취소', '스티커', '콩고', '영광', '대회', '유기견', '예스', '캐릭터', '정신', '강아지']","[('육아', 5), ('헬스', 5), ('인테리어', 3), ('뷰티', 2), ('펫', 2)]",-
eden_table,6324,"['불량', '계란말이', '쫄깃하', '첨가', '퀘사디아', '쇼룸', '주부', '물놀이', '고기', '소세지', '만두', '스튜어트', '초복', '기차', '설탕', '오이', '쌈밥', '키친', '억수', '볶음', '난리', '내일', '쫄면', '매년', '마미', '꼬리', '숙주', '밑쪽', '전부', '꼬맹이', '돼지고기', '쫄깃쫄깃', '식탁', '내면', '치과', '방학', '신비', '주꾸미', '이빨', '학식', '야외', '양념', '조심', '스팟', '언제', '미국', '떡볶이', '쇼파', '지단', '삼계탕', '초벌', '우드', '빡빡', '먹이', '생크림', '토마토', '다짐', '변형', '동영상', '파당', '상하', '토요일', '아들', '진국', '주먹밥', '대파', '갈비탕', '샤인', '흰자', '넣기', '조개류', '빵가루', '이적', '달걀', '쭈꾸미', '이징', '왕왕', '조카', '아메', '불고기', '월요일']","[('푸드', 27), ('육아', 21), ('헬스', 13), ('뷰티', 8), ('인테리어', 5), ('여행', 3), ('펫', 2), ('패션', 2)]",푸드
inkyung97,506,"['언제', '내일', '축하', '소통', '대고', '야오', '멜빵', '아기', '충혈', '가슴', '오늘이', '공항']","[('헬스', 5), ('육아', 4), ('패션', 1), ('뷰티', 1), ('여행', 1)]",-
2ah.in,3343,"['테이프', '축하', '복도', '길거리', '물놀이', '아빠', '블라우스', '신랑', '시술', '만두', '발진', '아토피', '튜브', '립스틱', '포카리', '프라이머', '여자아이', '난리', '업데이트', '체어', '내일', '임산부', '섀도우', '오자', '원피스', '어깨', '전부', '꼬맹이', '베이비', '출산', '개월', '건성', '틴트', '유아', '등원', '식탁', '자동', '키크', '취소', '스티커', '코디', '기저귀', '임신', '마르', '신생아', '어린이집', '떡볶이', '브러쉬', '스커트', '프릴', '침독', '달라', '아기', '이드', '둘째', '어린이날', '아인', '키즈', '코코', '활동', '찰떡', '티셔츠', '더마', '멜빵', '거래처', '슬슬', '딸맘', '때때', '베베', '장마철', '강아지', '이하이', '월요일']","[('육아', 33), ('뷰티', 12), ('패션', 10), ('헬스', 7), ('인테리어', 4), ('여행', 3), ('푸드', 3), ('펫', 1)]",육아
2km2km,1303,"['욕심', '강도', '태닝', '고기', '버슬립스', '하트', '가요', '내일', '리빙', '임산부', '마미', '송리', '다크', '코랄', '으루', '스티커', '충무로', '코디', '획득', '양념', '선수촌', '레슨', '익선동', '술톤', '우리엄마', '꼬기', '타워', '토요일', '봉천동', '비키니', '볼륨', '정신', '대디', '슬슬', '애착', '포스터', '울산']","[('헬스', 11), ('육아', 8), ('뷰티', 7), ('푸드', 4), ('여행', 4), ('인테리어', 2), ('패션', 1)]",-
bemy1in,2803,"['벨벳', '축하', '펄감', '팔레트', '릴리', '몇번', '풀라인', '지속', '메이크업', '업뎃될', '존예', '밴딩', '브릭', '쿨톤', '버건디', '아이라인', '업뎃', '하트', '블러셔', '여보', '브로', '내일', '호캉스', '밀착', '섀도우', '꼬리', '데리', '네이비', '원피스', '어깨', '베이스', '베이비', '개월', '코랄', '음영', '틴트', '입니댜', '광택', '트레이닝', '코디', '안감', '라이터', '모델링', '립발색', '교복', '테일로', '힛팬', '프릴', '달라', '코덕', '밴드', '조명', '눈썹', '발색', '촤르르', '토마토', '그라데이션', '숄더', '동영상', '눈화장', '가디건', '정품', '의류', '잘못', '찰떡', '티셔츠', '봄웜', '애교살', '하이라이트', '왼쪽', '에메랄드', '거래처', '빨대', '고동색', '쓰시', '웜해', '색조']","[('뷰티', 38), ('패션', 15), ('육아', 10), ('헬스', 6), ('인테리어', 3), ('여행', 3), ('펫', 1), ('푸드', 1)]",뷰티
kkmmmkk,772,"['축하', '디도', '태닝', '모던', '아빠', '메이크업', '존예', '업뎃', '클라인', '서재', '가요', '카메라', '내일', '원피스', '핏감', '개월', '오늘이', '코디', '교복', '떡볶이', '학교', '가디건', '투어', '트렌치', '기장', '거래처', '강아지']","[('패션', 10), ('헬스', 6), ('육아', 3), ('인테리어', 2), ('뷰티', 2), ('여행', 2), ('푸드', 1), ('펫', 1)]",패션
__chommy,1721,"['하라', '호흡', '소통', '반대쪽', '편입', '침대', '아빠', '발목', '매사', '국민', '달도', '은애', '매쉬', '도대체', '가요', '여보', '게다가', '트롤리', '내일', '전부', '출산', '꼬질꼬질', '개월', '자존감', '가슴', '내면', '회의', '기저귀', '교정', '디자이너', '가습기', '임신', '통증', '육아', '소니', '신생아', '규민', '이케아', '침실', '서일', '달라', '아기', '눈썹', '둘째', '식도', '수유', '청첩장', '골반', '기질', '분유', '트림', '교육', '세로', '불가사리', '월요일']","[('육아', 20), ('헬스', 17), ('인테리어', 8), ('펫', 4), ('뷰티', 4), ('푸드', 1), ('여행', 1)]",-
